Designator,Mid X,Mid Y,Rotation,Layer
TP4,182.7,-64.3,0.0,top
TP5,179.5,-64.3,0.0,top
TP6,181.1,-64.3,0.0,top
TP7,184.0,-62.8,0.0,top
