Designator,Footprint,Quantity,Value,LCSC Part #
"A, B, GND2, SEL, STA, TP10, TP11, TP12, TP13, TP14, TP15, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,13,TestPoint,
GND,TestPoint_Pad_1.5x1.5mm,1,TestPoint,
